en,zh-cn,zh-tw,pos,description,,,,,,,,,,,,,,,,,,,,,
Lisbon,里斯本,里斯本,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Ljubljana,卢布尔雅那,盧布亞納,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
London,伦敦,倫敦,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Longyearbyen,朗伊尔城,龍宜爾比恩,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Lord Howe,豪勋爵,羅豪,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Los Angeles,洛杉矶,洛杉磯,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Louisville,刘易斯维尔,路易維爾,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Lower Princes,下太子区,下太子區,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Luanda,罗安达,盧安達,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Lubumbashi,卢本巴希,羅彭巴布,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Lusaka,卢萨卡,路沙卡,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Luxembourg,卢森堡,盧森堡,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Macao,澳门,澳門,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Macau,澳门,澳門,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Maceio,马塞约,馬瑟歐,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Macquarie,麦格理岛,麥加利島,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Madeira,马德拉群岛,馬迪拉群島,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Madrid,马德里,馬德里,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Magadan,马加丹,馬加丹,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Mahe,马埃岛,馬赫,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Majuro,马朱罗,麥哲魯,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Makassar,望加锡,瑪加沙,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Malabo,马拉博,馬拉博,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Maldives,马尔代夫,馬爾地夫,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Malta,马耳他,馬爾他,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Managua,马那瓜,馬納瓜,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Manaus,马瑙斯,瑪瑙斯,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Manila,马尼拉,馬尼拉,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Maputo,马普托,馬布多,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Marengo,马伦戈,馬倫戈,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Mariehamn,玛丽港,瑪麗港,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Marigot,马里戈特,馬里戈,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Marquesas,马克萨斯,馬克沙斯,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Martinique,马提尼克岛,馬丁尼克,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Maseru,马塞卢,馬塞魯,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Matamoros,马塔莫罗斯,馬塔莫羅斯,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Mauritius,毛里求斯,模里西斯,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Mawson,莫森,茂遜,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Mayotte,马约特岛,馬約特島,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Mazatlan,马萨特兰,馬札特蘭,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Mbabane,姆巴巴内,墨巴本,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
McMurdo,麦克默多,麥克馬多,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Melbourne,墨尔本,墨爾本,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Mendoza,门多萨,門多薩,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Menominee,梅诺米尼,梅諾米尼,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Merida,梅里达,梅里達,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Metlakatla,梅特拉卡特拉,梅特拉卡特拉,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Mexico City,墨西哥城,墨西哥城,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Midway,中途岛,中途島,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Minsk,明斯克,明斯克,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Miquelon,密克隆群岛,密克隆群島,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Mogadishu,摩加迪沙,摩加迪休,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Monaco,摩纳哥,摩納哥,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Moncton,蒙克顿,蒙克頓,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Monrovia,蒙罗维亚,蒙羅維亞,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Monterrey,蒙特雷,蒙特利,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Montevideo,蒙得维的亚,蒙特維多,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Monticello,蒙蒂塞洛,蒙蒂塞洛,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Montreal,蒙特利尔,蒙特婁,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Montserrat,蒙特塞拉特,蒙特色拉特島,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Moscow,莫斯科,莫斯科,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Muscat,马斯喀特,馬斯喀特,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Nairobi,内罗毕,奈洛比,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Nassau,拿骚,拿索,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Nauru,瑙鲁,諾魯,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Ndjamena,恩贾梅纳,恩加美納,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
New Salem,新塞勒姆,新薩勒姆,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
New York,纽约,紐約,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Niamey,尼亚美,尼阿美,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Nicosia,尼科西亚,尼古西亞,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Nipigon,尼皮贡,尼皮貢,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Nome,诺姆,諾姆,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Norfolk,诺福克,諾福克,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Noronha,诺罗尼亚,諾拉哈,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
North,北方,北領地,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
North Dakota,北达科他州,北達科他,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Nouakchott,努瓦克肖特,諾克少,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Noumea,努美阿,諾米亞,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Novokuznetsk,新库兹涅茨克,新庫茲涅茨克,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Novosibirsk,新西伯利亚,新西伯利亞,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
NSW,新南威尔士州,新南威爾斯省,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Nuuk,努克,努克,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Ojinaga,奥希纳加,奧希納加,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Omsk,鄂木斯克,鄂木斯克,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Oral,乌拉尔,烏拉爾,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Oslo,奥斯陆,奧斯陸,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Ouagadougou,瓦加杜古,瓦加杜古,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Pacific,太平洋,太平洋,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Pago Pago,帕果帕果,帕哥帕哥,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Palau,帕劳,帛琉,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Palmer,帕尔默,帕麥,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Panama,巴拿马,巴拿馬,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Pangnirtung,庞纳通,皮納唐,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Paramaribo,帕拉马里博,巴拉馬利波,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Paris,巴黎,巴黎,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Perth,珀斯,伯斯,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Petersburg,圣彼得堡,聖彼得堡,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Phnom Penh,金边,金邊,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Phoenix,菲尼克斯,鳳凰城,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Pitcairn,皮特凯恩,皮特康群島,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Podgorica,波德戈里察,波德戈里察,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Pohnpei,波纳佩岛,波納佩島,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Ponape,波纳佩岛,波納佩島,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Pontianak,坤甸,坤甸,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Port Moresby,莫尔兹比港,莫爾斯貝港,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Port of Spain,西班牙港,西班牙港,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Port-au-Prince,太子港,太子港,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Porto Acre,阿卡港,亞克港,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Porto Velho,韦柳港,韋柳港,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Porto-Novo,波多诺伏港,新港,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Prague,布拉格,布拉格,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Puerto Rico,波多黎各,波多黎各,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Punta Arenas,蓬塔阿雷纳斯,蓬塔阿雷納斯,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Pyongyang,平壤,平壤,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Qatar,卡塔尔,卡達,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Qostanay,库斯塔奈,庫斯塔奈,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Queensland,昆士兰州,昆士蘭省,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Qyzylorda,克孜勒奥尔达,克孜勒奧爾達,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Rainy River,雷尼河区,雷尼河區,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Rangoon,仰光,仰光,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Rankin Inlet,兰金因莱特,蘭金音萊特,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Rarotonga,拉罗汤加岛,拉洛東加島,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Recife,累西腓,累西腓,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Regina,里贾纳,雷吉納,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Resolute,雷索卢特,努納武特,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Reunion,留尼汪,留尼旺,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Reykjavik,雷克雅未克,雷克雅維克,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Riga,里加,里加,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Rio Branco,里奥布兰科,里約布蘭科,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Rio Gallegos,里奥加耶戈斯,里奧加耶戈斯,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Riyadh,利雅得,利雅德,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Rome,罗马,羅馬,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Rosario,罗萨里奥,羅沙略,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Rothera,罗瑟拉,羅瑟拉站,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Saigon,西贡,胡志明市,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Saipan,塞班岛,塞班島,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Sakhalin,萨哈林岛,庫頁島,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Salta,萨尔塔,薩爾塔,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Samara,萨马拉,沙馬拉,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Samarkand,撒马尔罕,撒馬爾罕,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Samoa,萨摩亚,薩摩亞,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
San Juan,圣胡安,聖胡安,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
San Luis,圣刘易斯,聖路易斯,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
San Marino,圣马力诺,聖馬利諾,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Santa Isabel,圣伊莎贝尔,聖伊薩貝爾,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Santarem,圣塔伦,聖塔倫,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Santiago,圣地亚哥,聖地牙哥,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Santo Domingo,圣多明各,聖多明哥,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Sao Paulo,圣保罗,聖保羅,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Sao Tome,圣多美,聖多美,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Sarajevo,萨拉热窝,塞拉耶佛,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Saratov,萨拉托夫,薩拉托夫,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Scoresbysund,斯科斯比松,斯可比,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Seoul,首尔,首爾,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Shanghai,上海,上海,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Shiprock,希普罗克,希普羅克峰,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Simferopol,辛菲罗波尔,欣佛洛普,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Singapore,新加坡,新加坡,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Sitka,锡特卡,矽地卡,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Skopje,斯科普里,斯高彼亞,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Sofia,索菲亚,索菲亞,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
South,南方,南澳省,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
South Georgia,南乔治亚岛,南喬治亞,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
South Pole,南极,南極,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Srednekolymsk,中科雷姆斯克,中科雷姆斯克,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
St Barthelemy,圣巴泰勒米岛,聖巴泰勒米,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
St Helena,圣赫勒拿岛,聖赫勒拿島,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
St Johns,圣约翰斯,聖約翰,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
St Kitts,圣基茨,聖克里斯多福,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
St Lucia,圣卢西亚,聖露西亞,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
St Thomas,圣托马斯,聖湯瑪士,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
St Vincent,圣文森特,聖文森,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Stanley,斯坦利,史坦萊,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Stockholm,斯德哥尔摩,斯德哥爾摩,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Sydney,悉尼,雪梨,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Syowa,昭和,昭和站,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Tahiti,塔希提岛,大溪地,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Taipei,台北,台北,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Tallinn,塔林,塔林,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Tarawa,塔拉瓦,塔拉瓦,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Tashkent,塔什干,塔什干,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Tasmania,塔斯马尼亚,塔斯馬尼亞,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Tbilisi,第比利斯,第比利斯,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Tegucigalpa,特古西加尔巴,德古西加巴,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Tehran,德黑兰,德黑蘭,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Tel Aviv,特拉维夫,特拉維夫,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Tell City,特尔城,特爾城,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Thimbu,廷布,辛布,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Thimphu,廷布,辛布,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Thule,图勒,土里島,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Thunder Bay,桑德贝,桑德灣,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Tijuana,蒂华纳,提華納,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Timbuktu,廷巴克图,廷巴克圖,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Tirane,地拉内,地拉那,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Tiraspol,蒂拉斯波尔,提拉斯浦,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Tokyo,东京,東京,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Tomsk,托木斯克,托木斯克,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Tongatapu,汤加塔布,東加塔普,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Toronto,多伦多,多倫多,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Tortola,托尔托拉岛,托托拉,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Tripoli,的黎波里,的黎波里,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Troll,特罗尔站,特羅爾站,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Truk,特鲁克,楚克,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Tucuman,图库曼,圖庫曼,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Tunis,突尼斯,突尼斯,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Ujung Pandang,乌戎潘当,錫江,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Ulaanbaatar,乌兰巴托,烏蘭巴托,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Ulan Bator,乌兰巴托,烏蘭巴托,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Ulyanovsk,乌里扬诺夫斯克,烏里揚諾夫斯克,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Urumqi,乌鲁木齐,烏魯木齊,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Ushuaia,乌斯怀亚,烏斯懷亞,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Ust-Nera,乌斯季内拉,烏斯季涅拉,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Uzhgorod,乌日哥罗德,烏日霍羅德,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Vaduz,瓦杜兹,瓦都茲,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Vancouver,温哥华,溫哥華,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Vevay,韦韦,韋韋,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Victoria,维多利亚,維多利亞省,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Vienna,维也纳,維也納,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Vientiane,万象,永珍,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Vilnius,维尔纽斯,維爾紐斯,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Vincennes,万塞讷,湯森斯,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Virgin,维京群岛,維爾京群島,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Vladivostok,海参崴,海參崴,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Volgograd,伏尔加格勒,伏爾加格勒,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Vostok,沃斯托克,弗斯托克,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Wake,威克岛,威克島,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Wallis,沃利斯,瓦利斯,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Warsaw,华沙,華沙,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
West,西方,西澳省,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Whitehorse,怀特霍斯,白馬鎮,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Winamac,维纳马克,威納馬克,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Windhoek,温得和克,溫吐克,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Winnipeg,温尼伯,溫尼柏,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Yakutat,雅库塔特,亞庫塔特,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Yakutsk,雅库茨克,雅庫茨克,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Yancowinna,扬科温纳,揚科維納,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Yangon,仰光,仰光,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Yap,雅浦岛,雅浦島,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Yekaterinburg,叶卡捷琳堡,耶卡特寧伯格,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Yellowknife,耶洛奈夫,耶洛奈夫,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Yerevan,埃里温,葉里溫,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Zagreb,萨格勒布,札格雷布,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Zaporozhye,扎波罗热,札波羅結,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Zulu,祖鲁语,祖魯,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
